Real Date,Bytes,X,Y,Last Seen,Associated,Test Point,Traffic
2022-09-05 15:03:52,5500,80.11667,44.02,2022-09-05T15:03:50.049+0100,True,16,No
2022-09-05 15:03:53,8742,87.4,44.02,2022-09-05T15:03:52.062+0100,True,16,No
2022-09-05 15:03:54,5552,87.4,44.02,2022-09-05T15:03:52.062+0100,True,16,No
2022-09-05 15:03:55,8695,94.683334,44.02,2022-09-05T15:03:54.114+0100,True,16,No
2022-09-05 15:03:56,5396,94.683334,44.02,2022-09-05T15:03:54.114+0100,True,16,No
2022-09-05 15:03:57,8794,87.4,44.02,2022-09-05T15:03:56.177+0100,True,16,No
2022-09-05 15:03:58,5552,87.4,44.02,2022-09-05T15:03:56.177+0100,True,16,No
2022-09-05 15:03:59,8794,87.4,44.02,2022-09-05T15:03:58.187+0100,True,16,No
2022-09-05 15:04:00,5448,87.4,44.02,2022-09-05T15:03:58.187+0100,True,16,No
2022-09-05 15:04:01,8690,87.4,44.02,2022-09-05T15:04:00.191+0100,True,16,No
2022-09-05 15:04:02,5552,87.4,44.02,2022-09-05T15:04:00.191+0100,True,16,No
2022-09-05 15:04:03,8747,94.683334,44.02,2022-09-05T15:04:02.238+0100,True,16,No
2022-09-05 15:04:04,5500,94.683334,44.02,2022-09-05T15:04:02.238+0100,True,16,No
2022-09-05 15:04:05,8784,94.683334,44.02,2022-09-05T15:04:04.320+0100,True,16,No
2022-09-05 15:04:06,5448,94.683334,44.02,2022-09-05T15:04:04.320+0100,True,16,No
2022-09-05 15:04:07,8799,94.683334,44.02,2022-09-05T15:04:06.347+0100,True,16,No
2022-09-05 15:04:08,5500,94.683334,44.02,2022-09-05T15:04:06.347+0100,True,16,No
2022-09-05 15:04:09,8747,94.683334,44.02,2022-09-05T15:04:08.433+0100,True,16,No
2022-09-05 15:04:10,5500,94.683334,44.02,2022-09-05T15:04:08.433+0100,True,16,No
2022-09-05 15:04:11,5448,94.683334,44.02,2022-09-05T15:04:08.433+0100,True,16,No
2022-09-05 15:04:12,8794,87.4,44.02,2022-09-05T15:04:10.488+0100,True,16,No
2022-09-05 15:04:13,5500,87.4,44.02,2022-09-05T15:04:10.488+0100,True,16,No
2022-09-05 15:04:14,8742,87.4,44.02,2022-09-05T15:04:12.600+0100,True,16,No
2022-09-05 15:04:15,5500,87.4,44.02,2022-09-05T15:04:12.600+0100,True,16,No
2022-09-05 15:04:16,8690,87.4,44.02,2022-09-05T15:04:14.729+0100,True,16,No
2022-09-05 15:04:17,5500,87.4,44.02,2022-09-05T15:04:14.729+0100,True,16,No
2022-09-05 15:04:18,8742,87.4,44.02,2022-09-05T15:04:16.750+0100,True,16,No
2022-09-05 15:04:19,5500,87.4,44.02,2022-09-05T15:04:16.750+0100,True,16,No
2022-09-05 15:04:20,8694,80.11667,44.02,2022-09-05T15:04:18.791+0100,True,16,No
2022-09-05 15:04:21,5448,80.11667,44.02,2022-09-05T15:04:18.791+0100,True,16,No
2022-09-05 15:04:22,8742,87.4,44.02,2022-09-05T15:04:20.792+0100,True,16,No
2022-09-05 15:04:23,5500,87.4,44.02,2022-09-05T15:04:20.792+0100,True,16,No
2022-09-05 15:04:24,8794,87.4,44.02,2022-09-05T15:04:22.821+0100,True,16,No
2022-09-05 15:04:25,5537,87.4,44.02,2022-09-05T15:04:22.821+0100,True,16,No
2022-09-05 15:04:26,8690,87.4,44.02,2022-09-05T15:04:24.796+0100,True,16,No
2022-09-05 15:04:27,5500,87.4,44.02,2022-09-05T15:04:24.796+0100,True,16,No
2022-09-05 15:04:28,9054,87.4,44.02,2022-09-05T15:04:26.797+0100,True,16,No
2022-09-05 15:04:29,5500,87.4,44.02,2022-09-05T15:04:26.797+0100,True,16,No
2022-09-05 15:04:30,8690,87.4,44.02,2022-09-05T15:04:28.923+0100,True,16,No
2022-09-05 15:04:31,5448,87.4,44.02,2022-09-05T15:04:28.923+0100,True,16,No
2022-09-05 15:04:32,8695,94.683334,44.02,2022-09-05T15:04:30.934+0100,True,16,No
2022-09-05 15:04:33,5552,94.683334,44.02,2022-09-05T15:04:30.934+0100,True,16,No
2022-09-05 15:04:34,8747,94.683334,44.02,2022-09-05T15:04:32.978+0100,True,16,No
2022-09-05 15:04:35,5552,94.683334,44.02,2022-09-05T15:04:32.978+0100,True,16,No
2022-09-05 15:04:36,8695,94.683334,44.02,2022-09-05T15:04:35.061+0100,True,16,No
2022-09-05 15:04:37,5448,94.683334,44.02,2022-09-05T15:04:35.061+0100,True,16,No
2022-09-05 15:04:38,8747,94.683334,44.02,2022-09-05T15:04:37.079+0100,True,16,No
2022-09-05 15:04:39,5500,94.683334,44.02,2022-09-05T15:04:37.079+0100,True,16,No
2022-09-05 15:04:40,8799,94.683334,44.02,2022-09-05T15:04:39.091+0100,True,16,No
2022-09-05 15:04:41,5448,94.683334,44.02,2022-09-05T15:04:39.091+0100,True,16,No
2022-09-05 15:04:42,8695,94.683334,44.02,2022-09-05T15:04:41.127+0100,True,16,No
2022-09-05 15:04:43,5500,94.683334,44.02,2022-09-05T15:04:41.127+0100,True,16,No
2022-09-05 15:04:44,8742,87.4,44.02,2022-09-05T15:04:43.221+0100,True,16,No
2022-09-05 15:04:45,5641,87.4,44.02,2022-09-05T15:04:43.221+0100,True,16,No
2022-09-05 15:04:46,8690,87.4,44.02,2022-09-05T15:04:45.227+0100,True,16,No
2022-09-05 15:04:47,5448,87.4,44.02,2022-09-05T15:04:45.227+0100,True,16,No
2022-09-05 15:04:48,8742,87.4,44.02,2022-09-05T15:04:47.233+0100,True,16,No
2022-09-05 15:04:49,5500,87.4,44.02,2022-09-05T15:04:47.233+0100,True,16,No
2022-09-05 15:04:50,8794,87.4,44.02,2022-09-05T15:04:49.277+0100,True,16,No
2022-09-05 15:04:51,5448,87.4,44.02,2022-09-05T15:04:49.277+0100,True,16,No
2022-09-05 15:04:52,8695,94.683334,44.02,2022-09-05T15:04:51.367+0100,True,16,No
2022-09-05 15:04:53,5500,94.683334,44.02,2022-09-05T15:04:51.367+0100,True,16,No
2022-09-05 15:04:54,8695,94.683334,44.02,2022-09-05T15:04:53.371+0100,True,16,No
2022-09-05 15:04:55,5500,94.683334,44.02,2022-09-05T15:04:53.371+0100,True,16,No
2022-09-05 15:04:56,8695,94.683334,44.02,2022-09-05T15:04:55.383+0100,True,16,No
2022-09-05 15:04:57,5500,94.683334,44.02,2022-09-05T15:04:55.383+0100,True,16,No
2022-09-05 15:04:58,8799,94.683334,44.02,2022-09-05T15:04:57.450+0100,True,16,No
2022-09-05 15:04:59,5500,94.683334,44.02,2022-09-05T15:04:57.450+0100,True,16,No
2022-09-05 15:05:00,8695,94.683334,44.02,2022-09-05T15:04:59.491+0100,True,16,No
2022-09-05 15:05:01,5448,94.683334,44.02,2022-09-05T15:04:59.491+0100,True,16,No
2022-09-05 15:05:02,8747,94.683334,44.02,2022-09-05T15:05:01.538+0100,True,16,No
2022-09-05 15:05:03,5500,94.683334,44.02,2022-09-05T15:05:01.538+0100,True,16,No
2022-09-05 15:05:04,8508,94.683334,44.02,2022-09-05T15:05:03.623+0100,True,16,No
2022-09-05 15:05:05,5672,94.683334,44.02,2022-09-05T15:05:03.623+0100,True,16,No
2022-09-05 15:05:06,8747,94.683334,44.02,2022-09-05T15:05:05.640+0100,True,16,No
2022-09-05 15:05:07,5448,94.683334,44.02,2022-09-05T15:05:05.640+0100,True,16,No
2022-09-05 15:05:08,5500,94.683334,44.02,2022-09-05T15:05:05.640+0100,True,16,No
2022-09-05 15:05:09,8747,94.683334,44.02,2022-09-05T15:05:07.659+0100,True,16,No
2022-09-05 15:05:10,5448,94.683334,44.02,2022-09-05T15:05:07.659+0100,True,16,No
2022-09-05 15:05:11,8800,101.966675,44.02,2022-09-05T15:05:09.689+0100,True,16,No
2022-09-05 15:05:12,5448,101.966675,44.02,2022-09-05T15:05:09.689+0100,True,16,No
2022-09-05 15:05:13,8696,101.966675,44.02,2022-09-05T15:05:11.778+0100,True,16,No
2022-09-05 15:05:14,5500,101.966675,44.02,2022-09-05T15:05:11.778+0100,True,16,No
2022-09-05 15:05:15,8748,101.966675,44.02,2022-09-05T15:05:13.784+0100,True,16,No
2022-09-05 15:05:16,5500,101.966675,44.02,2022-09-05T15:05:13.784+0100,True,16,No
2022-09-05 15:05:17,8748,101.966675,44.02,2022-09-05T15:05:15.874+0100,True,16,No
2022-09-05 15:05:18,5500,101.966675,44.02,2022-09-05T15:05:15.874+0100,True,16,No
2022-09-05 15:05:20,8747,94.683334,44.02,2022-09-05T15:05:17.973+0100,True,16,No
2022-09-05 15:05:20,5552,94.683334,44.02,2022-09-05T15:05:17.973+0100,True,16,No
2022-09-05 15:05:21,8695,94.683334,44.02,2022-09-05T15:05:20.051+0100,True,16,No
2022-09-05 15:05:22,5500,94.683334,44.02,2022-09-05T15:05:20.051+0100,True,16,No
2022-09-05 15:05:23,8799,94.683334,44.02,2022-09-05T15:05:22.102+0100,True,16,No
2022-09-05 15:05:24,5552,94.683334,44.02,2022-09-05T15:05:22.102+0100,True,16,No
2022-09-05 15:05:25,8836,94.683334,44.02,2022-09-05T15:05:24.114+0100,True,16,No
2022-09-05 15:05:26,5500,94.683334,44.02,2022-09-05T15:05:24.114+0100,True,16,No
2022-09-05 15:05:27,8747,94.683334,44.02,2022-09-05T15:05:26.129+0100,True,16,No
2022-09-05 15:05:28,5864,94.683334,44.02,2022-09-05T15:05:26.129+0100,True,16,No
2022-09-05 15:05:29,8747,94.683334,44.02,2022-09-05T15:05:28.202+0100,True,16,No
2022-09-05 15:05:30,5448,94.683334,44.02,2022-09-05T15:05:28.202+0100,True,16,No
2022-09-05 15:05:31,8508,94.683334,44.02,2022-09-05T15:05:30.245+0100,True,16,No
2022-09-05 15:05:32,5604,94.683334,44.02,2022-09-05T15:05:30.245+0100,True,16,No
2022-09-05 15:05:33,8695,94.683334,44.02,2022-09-05T15:05:32.253+0100,True,16,No
2022-09-05 15:05:34,5448,94.683334,44.02,2022-09-05T15:05:32.253+0100,True,16,No
2022-09-05 15:05:35,8747,94.683334,44.02,2022-09-05T15:05:34.264+0100,True,16,No
2022-09-05 15:05:36,5448,94.683334,44.02,2022-09-05T15:05:34.264+0100,True,16,No
2022-09-05 15:05:37,8695,94.683334,44.02,2022-09-05T15:05:36.317+0100,True,16,No
2022-09-05 15:05:38,5448,94.683334,44.02,2022-09-05T15:05:36.317+0100,True,16,No
2022-09-05 15:05:39,8695,94.683334,44.02,2022-09-05T15:05:38.404+0100,True,16,No
2022-09-05 15:05:40,5500,94.683334,44.02,2022-09-05T15:05:38.404+0100,True,16,No
2022-09-05 15:05:41,8695,94.683334,44.02,2022-09-05T15:05:40.422+0100,True,16,No
2022-09-05 15:05:42,5448,94.683334,44.02,2022-09-05T15:05:40.422+0100,True,16,No
2022-09-05 15:05:43,8747,94.683334,44.02,2022-09-05T15:05:42.436+0100,True,16,No
2022-09-05 15:05:44,5448,94.683334,44.02,2022-09-05T15:05:42.436+0100,True,16,No
2022-09-05 15:05:45,8836,94.683334,44.02,2022-09-05T15:05:44.464+0100,True,16,No
2022-09-05 15:05:46,5448,94.683334,44.02,2022-09-05T15:05:44.464+0100,True,16,No
2022-09-05 15:05:47,8695,94.683334,44.02,2022-09-05T15:05:46.557+0100,True,16,No
2022-09-05 15:05:48,5552,94.683334,44.02,2022-09-05T15:05:46.557+0100,True,16,No
2022-09-05 15:05:49,8747,94.683334,44.02,2022-09-05T15:05:48.578+0100,True,16,No
2022-09-05 15:05:50,5552,94.683334,44.02,2022-09-05T15:05:48.578+0100,True,16,No
