Real Date,Bytes,X,Y,Last Seen,Associated,Test Point
2022-09-05 15:37:14,8564,87.19123,24.404383,2022-09-05T15:37:13.734+0100,true,18
2022-09-05 15:37:15,5448,87.19123,24.404383,2022-09-05T15:37:13.734+0100,true,18
2022-09-05 15:37:16,3599063,86.385216,24.80739,2022-09-05T15:37:15.752+0100,true,18
2022-09-05 15:37:17,5552,86.385216,24.80739,2022-09-05T15:37:15.752+0100,true,18
2022-09-05 15:37:18,8699,85.98908,24.803268,2022-09-05T15:37:17.855+0100,true,18
2022-09-05 15:37:19,5500,85.98908,24.803268,2022-09-05T15:37:17.855+0100,true,18
2022-09-05 15:37:20,8647,87.61891,23.584656,2022-09-05T15:37:19.874+0100,true,18
2022-09-05 15:37:21,1996896,87.61891,23.584656,2022-09-05T15:37:19.874+0100,true,18
2022-09-05 15:37:22,1097673,86.41393,24.39209,2022-09-05T15:37:21.973+0100,true,18
2022-09-05 15:37:23,5448,86.41393,24.39209,2022-09-05T15:37:21.973+0100,true,18
2022-09-05 15:37:24,8698,84.37418,26.02196,2022-09-05T15:37:23.983+0100,true,18
2022-09-05 15:37:25,6038,84.37418,26.02196,2022-09-05T15:37:23.983+0100,true,18
2022-09-05 15:37:27,2966478,90.02616,21.983458,2022-09-05T15:37:25.992+0100,true,18
2022-09-05 15:37:27,5741,90.02616,21.983458,2022-09-05T15:37:25.992+0100,true,18
2022-09-05 15:37:28,8699,94.41172,19.625845,2022-09-05T15:37:27.998+0100,true,18
2022-09-05 15:37:29,5500,94.41172,19.625845,2022-09-05T15:37:27.998+0100,true,18
2022-09-05 15:37:30,8698,96.3842,18.678633,2022-09-05T15:37:30.043+0100,true,18
2022-09-05 15:37:31,3930579,96.3842,18.678633,2022-09-05T15:37:30.043+0100,true,18
2022-09-05 15:37:32,8751,99.42964,16.497763,2022-09-05T15:37:32.056+0100,true,18
2022-09-05 15:37:33,5448,99.42964,16.497763,2022-09-05T15:37:32.056+0100,true,18
2022-09-05 15:37:34,8804,105.52124,12.141469,2022-09-05T15:37:34.143+0100,true,18
2022-09-05 15:37:35,5448,105.52124,12.141469,2022-09-05T15:37:34.143+0100,true,18
2022-09-05 15:37:36,8752,104.66779,12.995873,2022-09-05T15:37:36.147+0100,true,18
2022-09-05 15:37:37,1178083,104.66779,12.995873,2022-09-05T15:37:36.147+0100,true,18
2022-09-05 15:37:38,4270003,105.50787,11.975579,2022-09-05T15:37:38.185+0100,true,18
2022-09-05 15:37:39,5261,105.50787,11.975579,2022-09-05T15:37:38.185+0100,true,18
2022-09-05 15:37:40,8888,104.559845,12.293435,2022-09-05T15:37:40.197+0100,true,18
2022-09-05 15:37:41,5500,104.559845,12.293435,2022-09-05T15:37:40.197+0100,true,18
2022-09-05 15:37:42,8752,102.80271,13.606574,2022-09-05T15:37:42.203+0100,true,18
2022-09-05 15:37:43,5500,102.80271,13.606574,2022-09-05T15:37:42.203+0100,true,18
2022-09-05 15:37:44,8841,100.23683,15.316628,2022-09-05T15:37:44.224+0100,true,18
2022-09-05 15:37:45,5448,100.23683,15.316628,2022-09-05T15:37:44.224+0100,true,18
2022-09-05 15:37:47,8803,97.73011,17.411604,2022-09-05T15:37:46.234+0100,true,18
2022-09-05 15:37:47,5552,97.73011,17.411604,2022-09-05T15:37:46.234+0100,true,18
